personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,"acc jakob (policy network, base events+plans)",acc base default,acc policy default,,,,"jakob(policy network, base events+plans)",base default,policy default
berlin_9112d762,3,m,high,3600,never,FALSE,792473.9818963574,5835399.889928987,-7.147807303,-5.705896295,-7.588296295,,,,,,
berlin_8c2c626d,17,m,very_high,5600,never,FALSE,806605.5425710338,5821254.736322131,-8.982633761,-4.73526141,-10.65152832,,,,,,
berlin_c356122d,53,f,medium,1500,always,FALSE,800707.6661386814,5826157.980310803,-16.55244831,-0.904444153,-16.55764501,,,,,,
bb_c8f1b4f0,16,m,high,5600,never,FALSE,774959.54,5815436.04,-8.667037752,-8.594786642,-8.73320919,,,,,,
berlin_7ff4d4cd,41,f,medium,3000,always,FALSE,806799.7953992491,5824114.553308363,-9.510863324,-5.945493714,-11.18984423,,,,,,
berlin_7ac8d343,40,f,high,3600,always,FALSE,795684.6674078008,5831283.885663841,-4.612618385,-2.849296811,-4.806023861,,,,,,
berlin_9a8f0f2d,37,f,medium,2600,always,FALSE,800049.2494273621,5829838.202214462,-3.78962307,-1.069660693,-3.789964875,,,,,,
berlin_a78ebabd,31,m,very_high,5600,always,FALSE,799423.4653138771,5837435.411270629,-6.276026486,-5.156712552,-5.943791914,,,,,,
bb_5a77a15b,36,m,high,3600,always,FALSE,806150.46,5814568.98,-12.536867,-8.669326415,-13.54225912,,,,,,
berlin_1eab94b3,57,m,very_low,500,always,FALSE,799666.1867706357,5831004.640385437,-3.721360994,-3.675815385,-4.863611369,,,,,,
berlin_e0b9e404,46,f,medium,2000,always,FALSE,793100.1896,5826120.336459765,-9.985249804,-2.236300236,-21.43228023,,,,,,
berlin_074dbe87,78,m,low,900,always,FALSE,800647.7791796634,5814590.458240275,-18.2318075,-14.26547831,-19.56488176,,,,,,
bb_79edb84e,17,f,high,3600,always,FALSE,791811.92,5844183.83,-10.82494087,-9.79707205,-10.43106703,,,,,,
bb_d35312ad,58,m,very_low,900,always,FALSE,781934.04,5845529.82,-21.3770836,-21.36336484,-19.58703195,,,,,,
bb_75e69e32,32,f,very_high,5600,always,FALSE,803673.55,5803112.66,-11.76038917,-10.515214,-11.39646524,,,,,,
berlin_bf592c8e,43,f,high,3600,always,FALSE,810994.8469800934,5820158.5447682645,-12.86993287,-8.624696017,-14.0041508,,,,,,
berlin_71aff0a7,64,m,medium,2600,always,FALSE,794575.9789021765,5830797.590334362,-4.839871442,-3.082713518,-4.822512828,,,,,,
berlin_7ef717ee,17,m,high,4600,never,FALSE,799010.01,5831853.618516711,-3.251513882,-2.164948389,-3.406017591,,,,,,
bb_bd808db1,45,m,medium,1500,always,FALSE,793585.65,5810214.67,-15.61044351,-14.02573442,-15.47938637,,,,,,
berlin_2c0f61f7,30,f,low,900,always,FALSE,795766.3908556921,5832766.278490294,-7.151267145,-6.042886344,-7.713414125,,,,,,
bb_b1049dab,8,f,low,2000,never,FALSE,822547.92,5828756.25,-18.5619947,-15.88151829,-19.00794957,,,,,,
bb_392c91e7,76,m,medium,2000,always,FALSE,810459.12,5810715.27,-18.02585021,-13.11475115,-19.62776438,,,,,,
berlin_05ccd5a5,56,f,high,3000,always,FALSE,788228.0663,5818939.832443839,-6.165389525,-4.888097426,-6.678679896,,,,,,
berlin_72fbc3e6,33,m,medium,1500,always,FALSE,799412.5518357388,5828970.926430282,-8.042519025,-2.701730891,-8.042670113,,,,,,
berlin_1c79bdde,64,f,medium,2000,always,FALSE,811257.3100760155,5819883.003590491,-15.3208987,-10.6130536,-16.47736438,,,,,,
berlin_c5011a8d,20,f,high,4600,always,FALSE,791242.2461019426,5825812.464909583,-6.664778607,-1.140882185,-7.812034063,,,,,,
berlin_00f96d42,57,f,high,3600,always,FALSE,807401.8234747162,5827667.417097084,-7.804950102,-5.487607497,-8.935955885,,,,,,
berlin_00d4a5f1,34,f,medium,3000,always,FALSE,809282.9351746279,5824561.955126583,-10.67090688,-8.250441304,-11.70419972,,,,,,
berlin_c0599e26,44,f,very_high,5600,always,FALSE,803351.8032751326,5828821.474962951,-4.738438937,-2.575779145,-6.567173102,,,,,,
berlin_08b0f296,52,m,medium,1500,always,FALSE,794362.0967208534,5833316.156443765,-8.014594094,-6.453304909,-8.098008662,,,,,,
bb_8c39928c,18,m,high,3600,always,FALSE,776007.63,5813050.75,-11.03001958,-10.59071357,-10.6774502,,,,,,
berlin_d7509344,48,f,high,4600,always,FALSE,795832.0852148759,5819672.718939798,-6.284789935,-4.251304477,-5.790258147,,,,,,
berlin_68f69044,80,m,low,900,always,TRUE,797851.2178460427,5830102.504465844,-9.588917245,-3.924155861,-10.05713224,,,,,,
bb_50c61fb6,50,m,very_high,5600,always,FALSE,779650.52,5813765.6,-10.242989,-9.105970241,-10.20950926,,,,,,
berlin_d83d8236,35,f,medium,3000,always,FALSE,784772.6871097677,5827764.325535461,-1.729580813,-1.717877661,-1.730460018,,,,,,
berlin_6540df69,95,m,medium,2000,always,TRUE,810463.7248002387,5814152.890963677,-16.87164864,-11.90699713,-18.15787138,,,,,,
berlin_d7fa08e7,21,f,medium,2600,always,FALSE,794029.5719204099,5827756.735152731,-12.04541562,-2.447115625,-12.09749465,,,,,,
berlin_478b9cae,90,m,medium,2000,always,FALSE,805473.2197630727,5833083.394,-7.068259613,-5.546338317,-7.109331789,,,,,,
berlin_84e4c60d,47,f,medium,1500,always,FALSE,793315.8861014992,5824262.888742491,-7.453290378,-3.41673607,-8.108847799,,,,,,
bb_ae998fdc,41,m,high,3600,always,FALSE,814055.65,5830316.44,-11.14063894,-8.915612911,-11.54159233,,,,,,
berlin_aa06af6b,41,f,very_low,900,always,FALSE,801391.6903491411,5831698.928277102,-5.12251499,-3.934997489,-5.124254267,,,,,,
berlin_8dd72f48,81,m,medium,1500,always,TRUE,806251.5767872173,5820723.2671967205,-13.37177056,-7.251780799,-14.21198955,,,,,,
bb_2a32f68e,54,m,medium,1500,always,FALSE,822059.86,5841236.1,-22.45547079,-20.85912591,-24.86329158,,,,,,
berlin_f74edccb,33,f,medium,3600,always,FALSE,799814.1254519527,5832398.265558959,-3.500985301,-2.52738948,-3.438904061,,,,,,
berlin_e195635d,35,m,high,4600,always,FALSE,785122.9219081509,5828942.980778725,-1.237324094,-1.213176911,-1.162790496,,,,,,
berlin_5e6ce79e,16,m,medium,3000,never,FALSE,811344.6520899506,5823378.656852558,-12.07442494,-9.07503145,-13.21055312,,,,,,
berlin_a941f971,23,m,very_low,500,always,FALSE,797657.6288279474,5821128.105266984,-13.22853716,-8.901848528,-15.03096759,,,,,,
berlin_963464a9,30,f,high,4600,always,FALSE,806264.8249617363,5833373.691996003,-7.256314129,-5.380119718,-6.858138432,,,,,,
berlin_782a132d,92,m,medium,2000,always,TRUE,794473.7693308843,5820062.788325843,-6.636040703,-5.152671226,-6.385686279,,,,,,
bb_7cf8d099,41,m,low,2000,always,FALSE,786311.96,5855245.58,-18.38703825,-17.69956019,-18.55427507,,,,,,
berlin_2ea6eeae,33,f,very_high,5600,always,FALSE,804858.6280011657,5826469.6303534135,-6.758256205,-4.018520553,-8.15064482,,,,,,
berlin_41e24e88,38,m,medium,1500,always,TRUE,797806.7225046509,5828757.028352222,-12.3137079,-2.892221442,-28.17843075,,,,,,
berlin_67efa616,67,m,medium,3000,always,FALSE,808489.8370441982,5828624.627,-8.745841709,-6.602728368,-9.42419143,,,,,,
berlin_8c5fc96d,18,f,very_low,900,always,FALSE,790114.0334556324,5829720.206276292,-8.635618991,-6.873340346,-9.540946976,,,,,,
berlin_4bf7d563,23,m,very_low,500,always,FALSE,794289.0083667221,5821580.223843219,-9.835532062,-9.647089752,-10.37173549,,,,,,
berlin_e9177dee,35,f,high,2600,always,FALSE,805625.4499635728,5834538.757110375,-7.773599187,-6.045549404,-8.15729191,,,,,,
berlin_c7c5b7ec,20,f,very_low,499,always,FALSE,793268.6441724063,5824821.527480209,-8.901962458,-5.034002896,-8.90115205,,,,,,
berlin_2b770f9c,35,f,medium,2000,always,FALSE,798788.0144044646,5825753.113956447,-16.6851399,-1.345342428,-18.578019,,,,,,
berlin_3837104e,60,f,high,4600,always,TRUE,798256.7075,5829493.699842946,-10.10174236,-1.693584829,-10.49063209,,,,,,
bb_3e0dce24,61,m,very_low,500,always,FALSE,781216.64,5809095.73,-32.95296315,-31.58969391,-33.94042209,,,,,,
berlin_5fec4df5,46,f,high,5600,always,FALSE,798573.3439765798,5831126.969219218,-3.30338481,-1.911654429,-3.796934464,,,,,,
berlin_ede470cc,60,f,medium,2000,always,FALSE,795114.3659388968,5830952.4463963285,-5.117869309,-3.457112285,-5.076404463,,,,,,
