id,xcoord,ycoord,time,car_accessibility_base,car_accessibility_policy,delta
21855,777517.63,5703686.9,28800,-97.36303743,-97.36303885,-1.41868E-06
22078,778517.63,5703686.9,28800,-93.55969955,-93.55970096,-1.41868E-06
22301,779517.63,5703686.9,28800,-89.79066381,-89.79066522,-1.41868E-06
22524,780517.63,5703686.9,28800,-86.06538429,-86.06538571,-1.41868E-06
22747,781517.63,5703686.9,28800,-82.24912816,-82.24912944,-1.27994E-06
22970,782517.63,5703686.9,28800,-78.29060491,-78.29060619,-1.27994E-06
23193,783517.63,5703686.9,28800,-74.34339259,-74.34339387,-1.27994E-06
23416,784517.63,5703686.9,28800,-70.4127945,-70.41279578,-1.27994E-06
23639,785517.63,5703686.9,28800,-66.50798714,-66.50798842,-1.27994E-06
23862,786517.63,5703686.9,28800,-62.64625105,-62.64625233,-1.27994E-06
24085,787517.63,5703686.9,28800,-58.86403099,-58.86403227,-1.27994E-06
24308,788517.63,5703686.9,28800,-55.25108382,-55.2510851,-1.27994E-06
24531,789517.63,5703686.9,28800,-52.07768263,-52.07768391,-1.27994E-06
24754,790517.63,5703686.9,28800,-50.24556652,-50.2455678,-1.27994E-06
24977,791517.63,5703686.9,28800,-51.14662138,-51.14662266,-1.27994E-06
25200,792517.63,5703686.9,28800,-53.98007121,-53.98007249,-1.27994E-06
25423,793517.63,5703686.9,28800,-51.10157211,-51.10157342,-1.30871E-06
25646,794517.63,5703686.9,28800,-47.46240205,-47.46240336,-1.30871E-06
25869,795517.63,5703686.9,28800,-45.9466656,-45.94666691,-1.3082E-06
26092,796517.63,5703686.9,28800,-45.23358314,-45.23358445,-1.30813E-06
26315,797517.63,5703686.9,28800,-48.85248158,-48.85248289,-1.30813E-06
26538,798517.63,5703686.9,28800,-52.82590046,-52.82590176,-1.30813E-06
26761,799517.63,5703686.9,28800,-57.79673915,-57.79674046,-1.30824E-06
26984,800517.63,5703686.9,28800,-58.99069355,-58.99069486,-1.31512E-06
27207,801517.63,5703686.9,28800,-55.14224226,-55.14224358,-1.31512E-06
27430,802517.63,5703686.9,28800,-51.29379097,-51.29379229,-1.31512E-06
27653,803517.63,5703686.9,28800,-47.50610419,-47.5061055,-1.31512E-06
27876,804517.63,5703686.9,28800,-47.39682957,-47.39683088,-1.31512E-06
28099,805517.63,5703686.9,28800,-51.29728896,-51.29729028,-1.31512E-06
28322,806517.63,5703686.9,28800,-52.0612397,-52.0612411,-1.39428E-06
28545,807517.63,5703686.9,28800,-53.01987309,-53.01987448,-1.39428E-06
28768,808517.63,5703686.9,28800,-51.47678799,-51.47678916,-1.17247E-06
28991,809517.63,5703686.9,28800,-50.88072758,-50.88072875,-1.17247E-06
29214,810517.63,5703686.9,28800,-51.78815956,-51.78816083,-1.27104E-06
