personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_4b37f966,28800.0,teleportedWalk,37,f,high,always,false,796341.4264465601,5830309.925337398,-8.84,
berlin_4a110ff5,28800.0,teleportedWalk,25,f,medium,always,true,798349.986286216,5827145.742148333,-14.790000000000003,
berlin_8629d8fc,28800.0,teleportedWalk,20,f,very_low,always,false,797862.6002451864,5830947.293323331,-14.597999999999999,
berlin_7e4fda6b,28800.0,teleportedWalk,30,f,very_high,always,false,794091.4830839967,5831568.96709036,-16.646666666666665,
berlin_51af35bb,28800.0,teleportedWalk,32,m,low,always,true,799248.5492608675,5828780.155937338,-18.79,
berlin_5ae81a41,28800.0,teleportedWalk,41,f,high,always,false,799135.1839852626,5828692.130762257,-18.203333333333333,
berlin_616a8b0d,28800.0,teleportedWalk,18,f,low,always,false,798912.6835884997,5828162.836075362,-15.594000000000001,
berlin_9c8d6ba5,28800.0,teleportedWalk,28,m,medium,always,false,799040.1469113828,5826592.444941808,-18.9,
berlin_db93afe2,28800.0,teleportedWalk,81,m,high,always,true,797778.9928822803,5826622.67155427,-23.635,
berlin_f6522b6c,28800.0,teleportedWalk,34,f,low,always,false,795678.48641792,5829935.071517277,-6.093333333333334,
berlin_0f8ffc60,28800.0,teleportedWalk,63,m,very_high,always,false,797179.8514467289,5828089.981951687,-13.145,
berlin_81749a7d,28800.0,teleportedWalk,83,m,very_low,always,false,795530.7628819249,5831613.250817811,-22.24,
berlin_555fa9e1,28800.0,teleportedWalk,28,f,low,always,false,796330.5279410826,5831282.652925634,-12.228000000000002,
berlin_3918b6f1,28800.0,teleportedWalk,53,f,medium,always,false,797085.634482671,5833001.881865747,-23.293333333333333,
berlin_92fc484a,28800.0,teleportedWalk,43,m,medium,always,false,799753.2782606389,5826710.958826032,-23.926666666666666,
berlin_1c9d8e80,28800.0,teleportedWalk,54,m,very_low,always,false,797153.427016171,5832191.551647351,-19.493333333333332,
berlin_27753ce6,28800.0,teleportedWalk,5,m,very_high,never,false,795078.0823713646,5828845.561082467,-2.9233333333333333,
berlin_191736be,28800.0,teleportedWalk,15,m,very_low,never,false,797174.3242813759,5831191.27430731,-13.452,
berlin_98f4853a,28800.0,teleportedWalk,40,f,very_high,always,false,797310.1642218591,5828892.085268148,-8.736666666666666,
berlin_f35e6a6f,28800.0,teleportedWalk,61,m,medium,always,false,794859.7318497545,5829183.646731881,-6.87,
berlin_7d6a8177,28800.0,teleportedWalk,53,f,high,always,false,794500.794212335,5828409.923881846,-6.173333333333334,
berlin_1355d54c,28800.0,teleportedWalk,14,m,very_low,never,false,796435.3426541573,5830198.301194529,-8.54,
berlin_2375b051,28800.0,teleportedWalk,52,f,medium,always,false,798382.9094812584,5830064.394876821,-15.809999999999999,
berlin_171b151d,28800.0,teleportedWalk,44,m,low,always,false,795077.5788107726,5829422.398626937,-34.18,
berlin_e351889e,28800.0,teleportedWalk,36,f,medium,always,false,796896.4057166299,5829629.6945006335,-7.956666666666666,
berlin_786c05ad,28800.0,teleportedWalk,63,m,high,always,true,793150.4863216894,5828542.095285522,-19.449999999999996,
berlin_1758d23c,28800.0,teleportedWalk,54,m,very_high,always,false,796274.8855493986,5830698.10299226,-10.593333333333334,
berlin_7c9eaa3f,28800.0,teleportedWalk,58,f,medium,always,false,799471.5989532325,5828710.547881119,-19.953333333333333,
berlin_0502e857,28800.0,teleportedWalk,48,f,high,always,false,795221.2201444883,5830237.330691275,-7.956666666666666,
berlin_a9498062,28800.0,teleportedWalk,24,f,low,always,false,795384.9178299437,5832196.112829117,-16.104,
berlin_2f3d3666,28800.0,teleportedWalk,63,m,very_low,always,false,797948.2552455385,5829290.367586243,-18.505,
berlin_d4bb1a55,28800.0,teleportedWalk,8,m,very_high,never,false,797921.8644064255,5826803.3079557745,-15.663333333333334,
berlin_b1cddcec,28800.0,teleportedWalk,13,m,medium,never,false,796289.1743541647,5831521.2055020165,-14.736666666666665,
berlin_6634695c,28800.0,teleportedWalk,31,f,very_low,always,false,794265.2124286821,5828163.179178333,-7.773333333333333,
berlin_f81ebbbc,28800.0,teleportedWalk,7,m,very_low,never,false,795206.7323639556,5830144.73356493,-7.516666666666667,
berlin_3751da22,28800.0,teleportedWalk,53,f,high,always,false,794965.275519614,5830873.164465714,-11.506666666666668,
berlin_b29bc272,28800.0,teleportedWalk,76,m,very_high,always,false,795628.6200639545,5827609.453840788,-9.0,
berlin_70dcc26b,28800.0,teleportedWalk,44,f,low,always,false,793417.1983691512,5828815.005790248,-108.46333333333334,
berlin_82d1c448,28800.0,teleportedWalk,41,m,high,always,false,797739.0403329732,5829318.388389091,-11.313333333333334,
berlin_2dcdd838,28800.0,teleportedWalk,36,m,medium,always,false,797143.0454210213,5826640.952297612,-13.540000000000001,
berlin_b1bdfa12,28800.0,teleportedWalk,80,m,low,always,false,794755.054440466,5826166.486405562,-21.385,
berlin_334a2804,28800.0,teleportedWalk,1,m,very_low,never,false,797574.463945353,5828872.451804921,-10.1,
berlin_024c3a6c,28800.0,teleportedWalk,86,m,high,always,false,795098.7938671713,5830064.333502795,-10.97,
berlin_bac29eab,28800.0,teleportedWalk,77,m,medium,always,false,797325.5237892474,5828134.534890741,-14.069999999999999,
berlin_3e99aece,28800.0,teleportedWalk,43,f,medium,always,false,797173.1698229228,5830189.008633783,-10.903333333333334,
berlin_3a17db79,28800.0,teleportedWalk,48,m,very_high,always,false,794187.3631304032,5831638.329026056,-16.733333333333334,
berlin_27e68732,28800.0,teleportedWalk,54,f,low,always,false,796135.5603102001,5826053.468070883,-14.329999999999998,
berlin_a280f965,28800.0,teleportedWalk,46,f,high,always,false,794415.599951574,5830892.029864231,-12.753333333333334,
