personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_08d450e1,28800,teleportedWalk,75,m,medium,always,FALSE,797531.4182198723,5832111.921466111,-20.01
berlin_08d919c4,28800,teleportedWalk,80,m,medium,always,FALSE,799523.6916079614,5828726.058977101,-20.22333333
berlin_08e04ec2,28800,teleportedWalk,43,f,medium,always,TRUE,799661.0082588757,5826560.922355804,-23.86333333
berlin_08e4d299,28800,teleportedWalk,31,f,low,always,FALSE,798390.0030210374,5827062.204768427,-16.83666667
berlin_08f5be04,28800,teleportedWalk,25,f,very_high,always,FALSE,797838.9499082385,5830393.164,-14.25333333
berlin_09029c19,28800,teleportedWalk,55,f,high,always,FALSE,795087.8841989922,5828787.611420274,-2.843333333
berlin_0919469e,28800,teleportedWalk,18,m,very_high,always,FALSE,797231.5325,5831288.168,-15.53
berlin_093ec428,28800,teleportedWalk,7,m,medium,never,FALSE,794139.7947862255,5828924.901,-7.816666667
berlin_0958e00f,28800,teleportedWalk,50,f,low,always,FALSE,796938.6218062146,5826221.805630308,-14.85333333
berlin_0970bf47,28800,teleportedWalk,46,f,high,always,FALSE,798393.3762199443,5828445.579984286,-14.44
berlin_0979099a,28800,teleportedWalk,34,f,high,always,FALSE,792049.9702001546,5831362.042,-23.02
berlin_097d56f9,28800,teleportedWalk,3,m,medium,never,FALSE,795583.1291617104,5828244.716174409,-2.71
berlin_099117cf,28800,teleportedWalk,2,m,low,never,FALSE,795627.0883047825,5828445.160265751,-1.656666667
berlin_09968a54,28800,teleportedWalk,15,m,high,never,FALSE,792798.1583446728,5828800.8914236305,-14.75
berlin_09ae582b,28800,teleportedWalk,17,m,very_low,never,FALSE,798237.9501014433,5830545.510883741,-16.40333333
berlin_09cbad1f,28800,teleportedWalk,1,m,high,never,FALSE,799190.5257709018,5827071.7420728635,-20.47666667
berlin_09edaeab,28800,teleportedWalk,24,m,medium,always,FALSE,794796.1050903818,5829008.311060867,-4.54
berlin_09feb0a5,28800,teleportedWalk,18,m,low,always,FALSE,798083.6560053246,5828833.354611004,-12.74
berlin_0a023e3b,28800,teleportedWalk,79,m,medium,always,FALSE,793431.7152935455,5831942.422570187,-20.11
berlin_0a1d6b10,28800,teleportedWalk,43,f,low,always,FALSE,797761.2416,5830064.078,-12.96
berlin_0a5726e7,28800,teleportedWalk,18,f,medium,always,FALSE,796281.5180060002,5830647.462,-10.35666667
berlin_0a5f8236,28800,teleportedWalk,14,m,medium,never,FALSE,794707.6417324446,5828358.885957077,-5.26
berlin_0a66eab6,28800,teleportedWalk,83,m,very_low,always,TRUE,799528.6834797054,5827151.810181823,-21.91333333
berlin_0a68f03f,28800,teleportedWalk,24,m,high,always,FALSE,800200.6457468872,5827796.918,-24.26666667
berlin_0a73c8b6,28800,teleportedWalk,12,m,high,never,FALSE,795362.7450778437,5832406.3716600165,-18.99333333
berlin_0a791042,28800,teleportedWalk,46,f,medium,always,FALSE,799431.5966663008,5828818.1128603155,-19.74333333
berlin_0a84d6c6,28800,teleportedWalk,44,m,medium,always,FALSE,795828.6585,5831626.598533664,-14.92
berlin_0a863afc,28800,teleportedWalk,18,f,very_low,always,FALSE,798884.0724566553,5828628.202,-16.91
berlin_0aee5659,28800,teleportedWalk,43,f,low,always,TRUE,793597.8434325466,5828437.122474671,-10.72333333
berlin_0aefc116,28800,teleportedWalk,68,m,high,always,FALSE,798102.4955200804,5831025.841216854,-17.40666667
berlin_0afe2194,28800,teleportedWalk,25,f,low,always,FALSE,793911.5073312155,5831724.494354191,-17.81333333
berlin_0b1582a1,28800,teleportedWalk,5,m,low,never,FALSE,798168.2968,5830817.154822548,-16.95666667
berlin_0b1a0807,28800,teleportedWalk,30,m,low,always,FALSE,796264.5933,5831121.774856885,-12.69
berlin_0b239eb5,28800,teleportedWalk,27,f,medium,always,FALSE,796802.4776380585,5829759.176989697,-7.976666667
berlin_0b23e6aa,28800,teleportedWalk,86,m,very_high,always,FALSE,793919.6093673367,5829125.241035147,-9.113333333
berlin_0b6589c4,28800,teleportedWalk,91,m,high,always,FALSE,799612.4138845182,5827815.6649545245,-21.26333333
berlin_0b7d1b9b,28800,teleportedWalk,32,f,high,always,FALSE,799464.4004143903,5826539.356877131,-23.03
berlin_0b7fb1e0,28800,teleportedWalk,22,f,low,always,FALSE,794211.7103863508,5832054.375,-18.64
berlin_0bb4038b,28800,teleportedWalk,34,f,medium,always,FALSE,793432.6246363935,5828607.995335639,-11.47666667
berlin_0bb625f5,28800,teleportedWalk,23,m,high,always,FALSE,794559.5757,5831707.731157506,-16.29666667
berlin_0bb7b114,28800,teleportedWalk,24,f,very_low,always,FALSE,795466.6450473131,5830355.859,-8.323333333
berlin_0bc63181,28800,teleportedWalk,56,f,medium,always,FALSE,796288.314,5830971.344748109,-11.97
berlin_0bcb40f9,28800,teleportedWalk,67,m,high,always,FALSE,795840.8043238033,5825692.999923107,-16.00333333
berlin_0bd2d142,28800,teleportedWalk,26,m,high,always,FALSE,798927.2857079436,5828563.452,-17.15333333
berlin_0be9630c,28800,teleportedWalk,55,f,high,always,FALSE,797417.1455886604,5832870.176900664,-23.27666667
berlin_0bf2c0d7,28800,teleportedWalk,14,m,high,never,FALSE,795813.5537561865,5830682.341714348,-10.02
berlin_0bf784ad,28800,teleportedWalk,12,m,very_low,never,FALSE,794244.3465711367,5831890.7505738055,-17.79333333
berlin_0c07c1cd,28800,teleportedWalk,57,f,low,always,FALSE,793685.0511,5832322.178738925,-21.09666667
berlin_0c1baae8,28800,teleportedWalk,71,m,very_high,always,FALSE,795993.0589297108,5830860.652021465,-11.06
berlin_0c3b2846,28800,teleportedWalk,54,f,very_high,always,FALSE,794965.2988706715,5829926.039636112,-6.973333333
berlin_0c568963,28800,teleportedWalk,60,m,very_low,always,TRUE,799008.5578,5828550.027124169,-17.57666667
berlin_0c75b9f5,28800,teleportedWalk,6,m,very_low,never,FALSE,798090.0410171133,5828710.474156994,-12.77
berlin_0c7af35a,28800,teleportedWalk,44,m,very_low,always,FALSE,797652.9231369025,5831802.206843661,-18.96666667
berlin_0c7bdf82,28800,teleportedWalk,53,m,very_high,always,FALSE,794075.0972557804,5831422.176816709,-16.02666667
berlin_0c8da4c7,28800,teleportedWalk,52,m,high,always,FALSE,795492.9941435787,5830423.883697689,-8.663333333
berlin_0c8faf4f,28800,teleportedWalk,24,m,very_low,always,FALSE,795504.2053170674,5826170.694230617,-13.5
berlin_0c9c2c11,28800,teleportedWalk,18,f,medium,always,FALSE,798251.0813227524,5830309.441999497,-15.8
berlin_0ca32eb2,28800,teleportedWalk,23,m,medium,always,FALSE,798586.8645120418,5828761.8375141015,-15.35
berlin_0cad4edb,28800,teleportedWalk,23,m,high,always,FALSE,798925.2675061624,5827753.206056388,-17.89666667
berlin_0cb7420c,28800,teleportedWalk,35,f,low,always,FALSE,794562.9094428909,5831413.212348153,-14.86
berlin_0cd116c8,28800,teleportedWalk,40,m,medium,always,FALSE,794144.9728751964,5829117.510338323,-7.96
berlin_0cde9fba,28800,teleportedWalk,50,f,very_low,always,FALSE,797506.2266235042,5828300.728755524,-10.02333333
berlin_0ce8cf0c,28800,teleportedWalk,38,m,high,always,FALSE,796975.0552067326,5826494.664134915,-13.70333333
berlin_0cef042d,28800,teleportedWalk,37,f,very_low,always,FALSE,798465.6567681909,5828317.5644449415,-14.9
berlin_0d01faec,28800,teleportedWalk,68,m,medium,always,FALSE,796783.9938196831,5830867.654338454,-12.46333333
berlin_0d15a929,28800,teleportedWalk,39,m,medium,always,FALSE,796771.4086044016,5830548.630487954,-11.00333333
berlin_0d23903a,28800,teleportedWalk,49,f,medium,always,FALSE,797457.5974,5833062.480560425,-24.28
berlin_0d2d6d00,28800,teleportedWalk,27,f,high,always,FALSE,794640.1487167239,5828382.367682379,-5.536666667
berlin_0d37ec4d,28800,teleportedWalk,18,m,high,always,FALSE,794220.8179086074,5828483.9834059095,-7.493333333
berlin_0d3bcb34,28800,teleportedWalk,12,m,low,never,FALSE,798094.6136992322,5830408.712199728,-15.38666667
berlin_0d4128aa,28800,teleportedWalk,52,f,very_high,always,FALSE,794800.4783199978,5828996.572755023,-4.503333333
berlin_0d495c95,28800,teleportedWalk,19,m,high,always,FALSE,798754.4988,5829725.652824279,-16.97666667
