id,xcoord,ycoord,time,teleportedWalk_accessibility
1068,797747.4085589435,5826445.83349804,28800.0,-16.306666666666665
1106,797947.4085589435,5826445.83349804,28800.0,-17.026666666666667
1144,798147.4085589435,5826445.83349804,28800.0,-17.773333333333333
1182,798347.4085589435,5826445.83349804,28800.0,-18.553333333333335
1220,798547.4085589435,5826445.83349804,28800.0,-19.356666666666666
1258,798747.4085589435,5826445.83349804,28800.0,-20.18
1296,798947.4085589435,5826445.83349804,28800.0,-21.023333333333333
1334,799147.4085589435,5826445.83349804,28800.0,-21.883333333333333
1372,799347.4085589435,5826445.83349804,28800.0,-22.756666666666668
1410,799547.4085589435,5826445.83349804,28800.0,-23.64666666666667
1448,799747.4085589435,5826445.83349804,28800.0,-24.546666666666667
1486,799947.4085589435,5826445.83349804,28800.0,-25.46
1524,800147.4085589435,5826445.83349804,28800.0,-26.38
1562,800347.4085589435,5826445.83349804,28800.0,-27.310000000000002
5,792147.4085589435,5826645.83349804,28800.0,-21.21333333333333
43,792347.4085589435,5826645.83349804,28800.0,-20.333333333333332
81,792547.4085589435,5826645.83349804,28800.0,-19.46666666666667
119,792747.4085589435,5826645.83349804,28800.0,-18.616666666666667
157,792947.4085589435,5826645.83349804,28800.0,-17.79
195,793147.4085589435,5826645.83349804,28800.0,-16.986666666666665
233,793347.4085589435,5826645.83349804,28800.0,-16.206666666666667
271,793547.4085589435,5826645.83349804,28800.0,-15.46
309,793747.4085589435,5826645.83349804,28800.0,-14.75
347,793947.4085589435,5826645.83349804,28800.0,-14.08
385,794147.4085589435,5826645.83349804,28800.0,-13.456666666666667
423,794347.4085589435,5826645.83349804,28800.0,-12.886666666666667
461,794547.4085589435,5826645.83349804,28800.0,-12.376666666666667
499,794747.4085589435,5826645.83349804,28800.0,-11.94
537,794947.4085589435,5826645.83349804,28800.0,-11.576666666666668
575,795147.4085589435,5826645.83349804,28800.0,-11.3
613,795347.4085589435,5826645.83349804,28800.0,-11.113333333333333
651,795547.4085589435,5826645.83349804,28800.0,-11.02
689,795747.4085589435,5826645.83349804,28800.0,-11.026666666666667
727,795947.4085589435,5826645.83349804,28800.0,-11.129999999999999
765,796147.4085589435,5826645.83349804,28800.0,-11.33
803,796347.4085589435,5826645.83349804,28800.0,-11.620000000000001
841,796547.4085589435,5826645.83349804,28800.0,-11.99
879,796747.4085589435,5826645.83349804,28800.0,-12.44
917,796947.4085589435,5826645.83349804,28800.0,-12.956666666666667
955,797147.4085589435,5826645.83349804,28800.0,-13.533333333333333
993,797347.4085589435,5826645.83349804,28800.0,-14.163333333333334
1031,797547.4085589435,5826645.83349804,28800.0,-14.836666666666668
1069,797747.4085589435,5826645.83349804,28800.0,-15.553333333333335
1107,797947.4085589435,5826645.83349804,28800.0,-16.306666666666665
1145,798147.4085589435,5826645.83349804,28800.0,-17.086666666666666
1183,798347.4085589435,5826645.83349804,28800.0,-17.89333333333333
1221,798547.4085589435,5826645.83349804,28800.0,-18.726666666666667
1259,798747.4085589435,5826645.83349804,28800.0,-19.576666666666668
1297,798947.4085589435,5826645.83349804,28800.0,-20.443333333333335
